Rank,Model,Temperature,avg F1 (%),F1 Std Dev,avg Precision (%),avg Coverage (%),avg Iters,Pass Rate (%),avg Latency (s)
1,gemini-2.5-flash,0.0,100.0,0.0,100.0,100.0,2.00,100,12.2
2,gemini-2.5-flash,0.5,100.0,0.0,100.0,100.0,2.00,100,34.2
3,gemini-2.5-flash,1.0,100.0,0.0,100.0,100.0,2.00,100,37.0
4,gemini-3.1-pro-preview,0.0,100.0,0.0,100.0,100.0,2.00,100,73.8
5,gemini-3.1-pro-preview,0.5,100.0,0.0,100.0,100.0,2.00,100,121.5
6,gemini-3.1-pro-preview,1.0,100.0,0.0,100.0,100.0,2.00,100,121.4
7,gemini-2.5-pro,0.0,99.9,0.3,99.9,99.9,2.06,98,6.2
8,gemini-2.5-pro,0.5,99.5,1.2,100.0,99.1,2.10,96,106.5
9,gemini-2.5-pro,1.0,99.2,1.9,99.2,99.2,2.18,94,16.0
